season,date_code,weekending,region,Total_ILI,Total_Patients_Seen,Percent_ILI,Number_Providers_Reporting
2009-2010,201024,06/19/2010,California,532,18957,2.81,75
2009-2010,201024,06/19/2010,Central,7,623,1.12,6
2009-2010,201024,06/19/2010,Lower Southern,129,6117,2.11,31
2009-2010,201024,06/19/2010,Northern,42,1404,2.99,8
2009-2010,201024,06/19/2010,Upper Southern,8,2023,0.40,14
2009-2010,201025,06/26/2010,Bay Area,373,8745,4.27,16
2009-2010,201025,06/26/2010,California,548,19435,2.82,73
2009-2010,201025,06/26/2010,Central,8,573,1.40,5
2009-2010,201025,06/26/2010,Lower Southern,111,6381,1.74,30
2009-2010,201025,06/26/2010,Northern,53,1730,3.06,8
2009-2010,201025,06/26/2010,Upper Southern,3,2006,0.15,14
2009-2010,201026,07/03/2010,Bay Area,306,8271,3.70,14
2009-2010,201026,07/03/2010,California,468,19438,2.41,69
2009-2010,201026,07/03/2010,Central,9,787,1.14,6
2009-2010,201026,07/03/2010,Lower Southern,101,6518,1.55,28
2009-2010,201026,07/03/2010,Northern,52,1782,2.92,9
2009-2010,201026,07/03/2010,Upper Southern,0,2080,0.00,12
2009-2010,201027,07/10/2010,Bay Area,301,7807,3.86,14
2009-2010,201027,07/10/2010,California,443,17487,2.53,70
2009-2010,201027,07/10/2010,Central,13,496,2.62,6
2009-2010,201027,07/10/2010,Lower Southern,80,5799,1.38,30
2009-2010,201027,07/10/2010,Northern,47,1457,3.23,8
2009-2010,201027,07/10/2010,Upper Southern,2,1928,0.10,12
2009-2010,201028,07/17/2010,Bay Area,289,8460,3.42,14
2009-2010,201028,07/17/2010,California,462,19113,2.42,66
2009-2010,201028,07/17/2010,Central,7,569,1.23,5
2009-2010,201028,07/17/2010,Lower Southern,130,6707,1.94,30
2009-2010,201028,07/17/2010,Northern,36,1543,2.33,8
2009-2010,201028,07/17/2010,Upper Southern,0,1834,0.00,9
2009-2010,201029,07/24/2010,Bay Area,300,8468,3.54,13
2009-2010,201029,07/24/2010,California,445,18988,2.34,63
2009-2010,201029,07/24/2010,Central,3,432,0.69,4
2009-2010,201029,07/24/2010,Lower Southern,95,7005,1.36,29
2009-2010,201029,07/24/2010,Northern,47,1659,2.83,8
2009-2010,201029,07/24/2010,Upper Southern,0,1424,0.00,9
2009-2010,201030,07/31/2010,Bay Area,302,7312,4.13,12
2009-2010,201030,07/31/2010,California,438,17239,2.54,62
2009-2010,201030,07/31/2010,Central,8,414,1.93,4
2009-2010,201030,07/31/2010,Lower Southern,95,6633,1.43,30
2009-2010,201030,07/31/2010,Northern,32,1357,2.36,7
2009-2010,201030,07/31/2010,Upper Southern,1,1523,0.07,9
2009-2010,201031,08/07/2010,Bay Area,281,8038,3.50,11
2009-2010,201031,08/07/2010,California,414,17783,2.33,61
2009-2010,201031,08/07/2010,Central,5,389,1.29,4
2009-2010,201031,08/07/2010,Lower Southern,87,6372,1.37,29
2009-2010,201031,08/07/2010,Northern,40,1491,2.68,8
2009-2010,201031,08/07/2010,Upper Southern,1,1493,0.07,9
2009-2010,201032,08/14/2010,Bay Area,264,8134,3.25,9
2009-2010,201032,08/14/2010,California,438,17943,2.44,57
2009-2010,201032,08/14/2010,Central,1,346,0.29,4
2009-2010,201032,08/14/2010,Lower Southern,132,6819,1.94,28
2009-2010,201032,08/14/2010,Northern,41,1110,3.69,7
2009-2010,201032,08/14/2010,Upper Southern,0,1534,0.00,9
2009-2010,201033,08/21/2010,Bay Area,252,8004,3.15,10
2009-2010,201033,08/21/2010,California,431,18887,2.28,59
2009-2010,201033,08/21/2010,Central,10,690,1.45,5
2009-2010,201033,08/21/2010,Lower Southern,129,7132,1.81,28
2009-2010,201033,08/21/2010,Northern,37,1509,2.45,7
2009-2010,201033,08/21/2010,Upper Southern,3,1552,0.19,9
2009-2010,201034,08/28/2010,Bay Area,8,4592,0.17,9
2009-2010,201034,08/28/2010,California,200,15926,1.26,60
2009-2010,201034,08/28/2010,Central,15,674,2.23,4
2009-2010,201034,08/28/2010,Lower Southern,120,7132,1.68,31
2009-2010,201034,08/28/2010,Northern,57,2161,2.64,8
2009-2010,201034,08/28/2010,Upper Southern,0,1367,0.00,8
2009-2010,201035,09/04/2010,Bay Area,260,8754,2.97,10
2009-2010,201035,09/04/2010,California,394,20421,1.93,59
2009-2010,201035,09/04/2010,Central,23,568,4.05,4
2009-2010,201035,09/04/2010,Lower Southern,101,6705,1.51,29
2009-2010,201035,09/04/2010,Northern,9,1948,0.46,7
2009-2010,201035,09/04/2010,Upper Southern,1,2446,0.04,9
2009-2010,201036,09/11/2010,Bay Area,8,3658,0.22,9
2009-2010,201036,09/11/2010,California,231,14200,1.63,56
2009-2010,201036,09/11/2010,Central,35,525,6.67,4
2009-2010,201036,09/11/2010,Lower Southern,108,6333,1.71,26
2009-2010,201036,09/11/2010,Northern,80,2065,3.87,8
2009-2010,201036,09/11/2010,Upper Southern,0,1619,0.00,9
2009-2010,201037,09/18/2010,Bay Area,295,9520,3.10,10
2009-2010,201037,09/18/2010,California,509,21990,2.31,58
2009-2010,201037,09/18/2010,Central,42,322,13.04,3
2009-2010,201037,09/18/2010,Lower Southern,91,7075,1.29,28
2009-2010,201037,09/18/2010,Northern,81,2710,2.99,8
2009-2010,201037,09/18/2010,Upper Southern,0,2363,0.00,9
2009-2010,201038,09/25/2010,Bay Area,358,9518,3.76,9
2009-2010,201038,09/25/2010,California,613,22931,2.67,56
2009-2010,201038,09/25/2010,Central,42,634,6.62,3
2009-2010,201038,09/25/2010,Lower Southern,141,7903,1.78,27
2009-2010,201038,09/25/2010,Northern,70,2472,2.83,8
2009-2010,201038,09/25/2010,Upper Southern,2,2404,0.08,9
2009-2010,201039,10/02/2010,Bay Area,326,9472,3.44,8
2009-2010,201039,10/02/2010,California,576,22563,2.55,55
2009-2010,201039,10/02/2010,Central,39,540,7.22,4
2009-2010,201039,10/02/2010,Lower Southern,119,7665,1.55,26
2009-2010,201039,10/02/2010,Northern,86,2516,3.42,8
2009-2010,201039,10/02/2010,Upper Southern,6,2370,0.25,9
2010-2011,201040,10/09/2010,Bay Area,325,10324,3.15,20
2010-2011,201040,10/09/2010,California,625,31782,1.97,107
2010-2011,201040,10/09/2010,Central,29,2000,1.45,16
2010-2011,201040,10/09/2010,Lower Southern,158,7741,2.04,33
2010-2011,201040,10/09/2010,Northern,89,5801,1.53,14
2010-2011,201040,10/09/2010,Upper Southern,24,5916,0.41,24
2010-2011,201041,10/16/2010,Bay Area,375,10665,3.52,21
2010-2011,201041,10/16/2010,California,730,33889,2.15,117
2010-2011,201041,10/16/2010,Central,57,2145,2.66,18
2010-2011,201041,10/16/2010,Lower Southern,150,8428,1.78,38
2010-2011,201041,10/16/2010,Northern,121,6672,1.81,17
2010-2011,201041,10/16/2010,Upper Southern,27,5979,0.45,23
2010-2011,201042,10/23/2010,Bay Area,354,10567,3.35,24
2010-2011,201042,10/23/2010,California,756,33592,2.25,121
2010-2011,201042,10/23/2010,Central,43,1840,2.34,17
2010-2011,201042,10/23/2010,Lower Southern,150,8941,1.68,39
2010-2011,201042,10/23/2010,Northern,165,6502,2.54,17
2010-2011,201042,10/23/2010,Upper Southern,44,5742,0.77,24
2010-2011,201043,10/30/2010,Bay Area,246,10706,2.30,23
2010-2011,201043,10/30/2010,California,657,34038,1.93,125
2010-2011,201043,10/30/2010,Central,44,1902,2.31,17
2010-2011,201043,10/30/2010,Lower Southern,196,8922,2.20,41
2010-2011,201043,10/30/2010,Northern,134,5894,2.27,19
2010-2011,201043,10/30/2010,Upper Southern,37,6614,0.56,25
2010-2011,201044,11/06/2010,Bay Area,464,11154,4.16,23
2010-2011,201044,11/06/2010,California,880,34519,2.55,126
2010-2011,201044,11/06/2010,Central,51,2063,2.47,17
2010-2011,201044,11/06/2010,Lower Southern,130,8483,1.53,42
2010-2011,201044,11/06/2010,Northern,180,6039,2.98,19
2010-2011,201044,11/06/2010,Upper Southern,55,6780,0.81,25
2010-2011,201045,11/13/2010,Bay Area,496,10836,4.58,23
2010-2011,201045,11/13/2010,California,894,32476,2.75,122
2010-2011,201045,11/13/2010,Central,29,1552,1.87,12
2010-2011,201045,11/13/2010,Lower Southern,189,8440,2.24,44
2010-2011,201045,11/13/2010,Northern,142,5436,2.61,19
2010-2011,201045,11/13/2010,Upper Southern,38,6212,0.61,24
2010-2011,201046,11/20/2010,Bay Area,492,11215,4.39,21
2010-2011,201046,11/20/2010,California,1017,35913,2.83,128
2010-2011,201046,11/20/2010,Central,53,2682,1.98,18
2010-2011,201046,11/20/2010,Lower Southern,249,9790,2.54,46
2010-2011,201046,11/20/2010,Northern,173,6317,2.74,19
2010-2011,201046,11/20/2010,Upper Southern,50,5909,0.85,24
2010-2011,201047,11/27/2010,Bay Area,373,6986,5.34,24
2010-2011,201047,11/27/2010,California,721,22730,3.17,129
2010-2011,201047,11/27/2010,Central,19,1264,1.50,18
2010-2011,201047,11/27/2010,Lower Southern,170,6354,2.68,45
2010-2011,201047,11/27/2010,Northern,121,3565,3.39,18
2010-2011,201047,11/27/2010,Upper Southern,38,4561,0.83,24
2010-2011,201048,12/04/2010,Bay Area,455,11681,3.90,24
2010-2011,201048,12/04/2010,California,930,35318,2.63,129
2010-2011,201048,12/04/2010,Central,41,2073,1.98,17
2010-2011,201048,12/04/2010,Lower Southern,229,9368,2.44,45
2010-2011,201048,12/04/2010,Northern,151,5669,2.66,19
2010-2011,201048,12/04/2010,Upper Southern,54,6527,0.83,24
2010-2011,201049,12/11/2010,Bay Area,552,11179,4.94,25
2010-2011,201049,12/11/2010,California,1060,34378,3.08,129
2010-2011,201049,12/11/2010,Central,25,2200,1.14,17
2010-2011,201049,12/11/2010,Lower Southern,306,10560,2.90,47
2010-2011,201049,12/11/2010,Northern,150,5691,2.64,17
2010-2011,201049,12/11/2010,Upper Southern,27,4748,0.57,23
2010-2011,201050,12/18/2010,Bay Area,597,10759,5.55,25
2010-2011,201050,12/18/2010,California,1256,32569,3.86,123
2010-2011,201050,12/18/2010,Central,37,2140,1.73,17
2010-2011,201050,12/18/2010,Lower Southern,399,10758,3.71,43
2010-2011,201050,12/18/2010,Northern,170,4976,3.42,17
2010-2011,201050,12/18/2010,Upper Southern,53,3936,1.35,21
2010-2011,201051,12/25/2010,Bay Area,520,7906,6.58,24
2010-2011,201051,12/25/2010,California,1232,23466,5.25,122
2010-2011,201051,12/25/2010,Central,20,1131,1.77,15
2010-2011,201051,12/25/2010,Lower Southern,525,7211,7.28,42
2010-2011,201051,12/25/2010,Northern,124,3192,3.88,18
2010-2011,201051,12/25/2010,Upper Southern,43,4026,1.07,23
2010-2011,201052,01/01/2011,Bay Area,551,7109,7.75,22
2010-2011,201052,01/01/2011,California,915,19095,4.79,119
2010-2011,201052,01/01/2011,Central,17,953,1.78,15
2010-2011,201052,01/01/2011,Lower Southern,196,6492,3.02,43
2010-2011,201052,01/01/2011,Northern,118,2884,4.09,18
2010-2011,201052,01/01/2011,Upper Southern,33,1657,1.99,21
2010-2011,201101,01/08/2011,Bay Area,639,10808,5.91,23
2010-2011,201101,01/08/2011,California,1184,32799,3.61,123
2010-2011,201101,01/08/2011,Central,39,1963,1.99,16
2010-2011,201101,01/08/2011,Lower Southern,250,8769,2.85,43
2010-2011,201101,01/08/2011,Northern,155,5252,2.95,18
2010-2011,201101,01/08/2011,Upper Southern,101,6007,1.68,23
2010-2011,201102,01/15/2011,Bay Area,661,11212,5.90,23
2010-2011,201102,01/15/2011,California,1347,34966,3.85,126
2010-2011,201102,01/15/2011,Central,50,2660,1.88,18
2010-2011,201102,01/15/2011,Lower Southern,303,9197,3.29,42
2010-2011,201102,01/15/2011,Northern,179,5614,3.19,19
2010-2011,201102,01/15/2011,Upper Southern,154,6283,2.45,24
2010-2011,201103,01/22/2011,Bay Area,664,10310,6.44,23
2010-2011,201103,01/22/2011,California,1293,32043,4.04,124
2010-2011,201103,01/22/2011,Central,63,2439,2.58,15
2010-2011,201103,01/22/2011,Lower Southern,302,9441,3.20,46
2010-2011,201103,01/22/2011,Northern,170,4829,3.52,18
2010-2011,201103,01/22/2011,Upper Southern,94,5024,1.87,22
2010-2011,201104,01/29/2011,Bay Area,727,11344,6.41,23
2010-2011,201104,01/29/2011,California,1744,37536,4.65,126
2010-2011,201104,01/29/2011,Central,121,2730,4.43,18
2010-2011,201104,01/29/2011,Lower Southern,416,10702,3.89,43
2010-2011,201104,01/29/2011,Northern,259,6597,3.93,18
2010-2011,201104,01/29/2011,Upper Southern,221,6163,3.59,24
2010-2011,201105,02/05/2011,Bay Area,704,10911,6.45,24
2010-2011,201105,02/05/2011,California,1714,39434,4.35,127
2010-2011,201105,02/05/2011,Central,107,2708,3.95,18
2010-2011,201105,02/05/2011,Lower Southern,387,11826,3.27,43
2010-2011,201105,02/05/2011,Northern,314,6623,4.74,18
2010-2011,201105,02/05/2011,Upper Southern,202,7366,2.74,24
2010-2011,201106,02/12/2011,Bay Area,794,11713,6.78,24
2010-2011,201106,02/12/2011,California,1951,39774,4.91,132
2010-2011,201106,02/12/2011,Central,123,2610,4.71,18
2010-2011,201106,02/12/2011,Lower Southern,489,11487,4.26,48
2010-2011,201106,02/12/2011,Northern,346,6525,5.30,17
2010-2011,201106,02/12/2011,Upper Southern,199,7439,2.68,25
2010-2011,201107,02/19/2011,Bay Area,844,11106,7.60,23
2010-2011,201107,02/19/2011,California,2008,39289,5.11,130
2010-2011,201107,02/19/2011,Central,160,2605,6.14,18
2010-2011,201107,02/19/2011,Lower Southern,387,11613,3.33,47
2010-2011,201107,02/19/2011,Northern,422,6646,6.35,17
2010-2011,201107,02/19/2011,Upper Southern,195,7319,2.66,25
2010-2011,201108,02/26/2011,Bay Area,797,10087,7.90,23
2010-2011,201108,02/26/2011,California,1849,44777,4.13,129
2010-2011,201108,02/26/2011,Central,120,2037,5.89,16
2010-2011,201108,02/26/2011,Lower Southern,440,10101,4.36,47
2010-2011,201108,02/26/2011,Northern,343,15931,2.15,17
2010-2011,201108,02/26/2011,Upper Southern,149,6621,2.25,26
2010-2011,201109,03/05/2011,Bay Area,877,11459,7.65,22
2010-2011,201109,03/05/2011,California,1985,39342,5.05,132
2010-2011,201109,03/05/2011,Central,178,2797,6.36,19
2010-2011,201109,03/05/2011,Lower Southern,424,11759,3.61,49
2010-2011,201109,03/05/2011,Northern,371,6351,5.84,16
2010-2011,201109,03/05/2011,Upper Southern,135,6976,1.94,26
2010-2011,201110,03/12/2011,Bay Area,860,10972,7.84,23
2010-2011,201110,03/12/2011,California,1834,38705,4.74,130
2010-2011,201110,03/12/2011,Central,108,2347,4.60,18
2010-2011,201110,03/12/2011,Lower Southern,377,11839,3.18,46
2010-2011,201110,03/12/2011,Northern,390,6532,5.97,17
2010-2011,201110,03/12/2011,Upper Southern,99,7015,1.41,26
2010-2011,201111,03/19/2011,Bay Area,681,10852,6.28,22
2010-2011,201111,03/19/2011,California,1586,35238,4.50,128
2010-2011,201111,03/19/2011,Central,110,2269,4.85,18
2010-2011,201111,03/19/2011,Lower Southern,421,10841,3.88,46
2010-2011,201111,03/19/2011,Northern,270,4875,5.54,16
2010-2011,201111,03/19/2011,Upper Southern,104,6401,1.62,26
2010-2011,201112,03/26/2011,Bay Area,535,9883,5.41,21
2010-2011,201112,03/26/2011,California,1105,33068,3.34,122
2010-2011,201112,03/26/2011,Central,70,2134,3.28,17
2010-2011,201112,03/26/2011,Lower Southern,241,10140,2.38,45
2010-2011,201112,03/26/2011,Northern,214,5342,4.01,16
2010-2011,201112,03/26/2011,Upper Southern,45,5569,0.81,23
2010-2011,201113,04/02/2011,Bay Area,550,10968,5.01,21
2010-2011,201113,04/02/2011,California,1152,35582,3.24,125
2010-2011,201113,04/02/2011,Central,94,2172,4.33,16
2010-2011,201113,04/02/2011,Lower Southern,279,10390,2.69,49
2010-2011,201113,04/02/2011,Northern,172,6009,2.86,14
2010-2011,201113,04/02/2011,Upper Southern,57,6043,0.94,25
2010-2011,201114,04/09/2011,Bay Area,455,10474,4.34,20
2010-2011,201114,04/09/2011,California,923,34357,2.69,115
2010-2011,201114,04/09/2011,Central,74,2281,3.24,16
2010-2011,201114,04/09/2011,Lower Southern,193,9227,2.09,42
2010-2011,201114,04/09/2011,Northern,163,5881,2.77,12
2010-2011,201114,04/09/2011,Upper Southern,38,6494,0.59,25
2010-2011,201115,04/16/2011,Bay Area,465,10835,4.29,20
2010-2011,201115,04/16/2011,California,915,35043,2.61,114
2010-2011,201115,04/16/2011,Central,63,1704,3.70,13
2010-2011,201115,04/16/2011,Lower Southern,183,10061,1.82,44
2010-2011,201115,04/16/2011,Northern,166,5795,2.86,12
2010-2011,201115,04/16/2011,Upper Southern,38,6648,0.57,25
2010-2011,201116,04/23/2011,Bay Area,393,9972,3.94,21
2010-2011,201116,04/23/2011,California,729,32206,2.26,113
2010-2011,201116,04/23/2011,Central,48,1731,2.77,16
2010-2011,201116,04/23/2011,Lower Southern,147,8627,1.70,41
2010-2011,201116,04/23/2011,Northern,119,5695,2.09,12
2010-2011,201116,04/23/2011,Upper Southern,22,6181,0.36,23
2010-2011,201117,04/30/2011,Bay Area,384,10159,3.78,19
2010-2011,201117,04/30/2011,California,783,32903,2.38,106
2010-2011,201117,04/30/2011,Central,47,1916,2.45,15
2010-2011,201117,04/30/2011,Lower Southern,211,9798,2.15,39
2010-2011,201117,04/30/2011,Northern,114,4773,2.39,11
2010-2011,201117,04/30/2011,Upper Southern,27,6257,0.43,22
2010-2011,201118,05/07/2011,Bay Area,453,10438,4.34,18
2010-2011,201118,05/07/2011,California,729,33571,2.17,105
2010-2011,201118,05/07/2011,Central,36,1504,2.39,12
2010-2011,201118,05/07/2011,Lower Southern,121,9311,1.30,40
2010-2011,201118,05/07/2011,Northern,77,5720,1.35,12
2010-2011,201118,05/07/2011,Upper Southern,42,6598,0.64,23
2010-2011,201119,05/14/2011,Bay Area,375,9612,3.90,17
2010-2011,201119,05/14/2011,California,671,32086,2.09,104
2010-2011,201119,05/14/2011,Central,17,1277,1.33,12
2010-2011,201119,05/14/2011,Lower Southern,162,9777,1.66,41
2010-2011,201119,05/14/2011,Northern,95,5557,1.71,12
2010-2011,201119,05/14/2011,Upper Southern,22,5863,0.38,22
2010-2011,201120,05/21/2011,Bay Area,396,10018,3.95,18
2010-2011,201120,05/21/2011,California,695,32150,2.16,108
2010-2011,201120,05/21/2011,Central,26,1593,1.63,13
2010-2011,201120,05/21/2011,Lower Southern,159,9849,1.61,43
2010-2011,201120,05/21/2011,Northern,100,5155,1.94,12
2010-2011,201120,05/21/2011,Upper Southern,14,5535,0.25,22
2010-2011,201121,05/28/2011,Bay Area,413,10100,4.09,17
2010-2011,201121,05/28/2011,California,579,27096,2.14,89
2010-2011,201121,05/28/2011,Central,10,1018,0.98,10
2010-2011,201121,05/28/2011,Lower Southern,121,7841,1.54,38
2010-2011,201121,05/28/2011,Northern,22,4474,0.49,10
2010-2011,201121,05/28/2011,Upper Southern,13,3663,0.35,14
2010-2011,201122,06/04/2011,Bay Area,402,8509,4.72,16
2010-2011,201122,06/04/2011,California,578,22071,2.62,86
2010-2011,201122,06/04/2011,Central,9,683,1.32,9
2010-2011,201122,06/04/2011,Lower Southern,118,6371,1.85,37
2010-2011,201122,06/04/2011,Northern,44,3669,1.20,10
2010-2011,201122,06/04/2011,Upper Southern,5,2839,0.18,14
2010-2011,201123,06/11/2011,Bay Area,431,9458,4.56,17
2010-2011,201123,06/11/2011,California,588,25466,2.31,83
2010-2011,201123,06/11/2011,Central,5,943,0.53,8
2010-2011,201123,06/11/2011,Lower Southern,95,7460,1.27,33
2010-2011,201123,06/11/2011,Northern,49,4042,1.21,10
2010-2011,201123,06/11/2011,Upper Southern,8,3563,0.22,15
2010-2011,201124,06/18/2011,Bay Area,315,8563,3.68,16
2010-2011,201124,06/18/2011,California,459,24426,1.88,84
2010-2011,201124,06/18/2011,Central,5,783,0.64,7
2010-2011,201124,06/18/2011,Lower Southern,85,7714,1.10,35
2010-2011,201124,06/18/2011,Northern,43,3721,1.16,10
2010-2011,201124,06/18/2011,Upper Southern,11,3645,0.30,16
2010-2011,201125,06/25/2011,Bay Area,310,8563,3.62,17
2010-2011,201125,06/25/2011,California,435,24678,1.76,84
2010-2011,201125,06/25/2011,Central,8,778,1.03,7
2010-2011,201125,06/25/2011,Lower Southern,83,8374,0.99,37
2010-2011,201125,06/25/2011,Northern,24,3537,0.68,9
2010-2011,201125,06/25/2011,Upper Southern,10,3426,0.29,14
2010-2011,201126,07/02/2011,Bay Area,288,8831,3.26,15
2010-2011,201126,07/02/2011,California,425,25238,1.68,79
2010-2011,201126,07/02/2011,Central,5,298,1.68,6
2010-2011,201126,07/02/2011,Lower Southern,94,6977,1.35,34
2010-2011,201126,07/02/2011,Northern,37,5923,0.62,11
2010-2011,201126,07/02/2011,Upper Southern,1,3209,0.03,13
2010-2011,201127,07/09/2011,Bay Area,241,7467,3.23,13
2010-2011,201127,07/09/2011,California,343,19910,1.72,78
2010-2011,201127,07/09/2011,Central,8,353,2.27,6
2010-2011,201127,07/09/2011,Lower Southern,78,6102,1.28,36
2010-2011,201127,07/09/2011,Northern,13,3225,0.40,10
2010-2011,201127,07/09/2011,Upper Southern,3,2763,0.11,13
2010-2011,201128,07/16/2011,Bay Area,273,8505,3.21,14
2010-2011,201128,07/16/2011,California,381,23358,1.63,80
2010-2011,201128,07/16/2011,Central,9,675,1.33,6
2010-2011,201128,07/16/2011,Lower Southern,69,7096,0.97,35
2010-2011,201128,07/16/2011,Northern,27,3755,0.72,10
2010-2011,201128,07/16/2011,Upper Southern,3,3327,0.09,15
2010-2011,201129,07/23/2011,Bay Area,241,8901,2.71,14
2010-2011,201129,07/23/2011,California,327,22384,1.46,78
2010-2011,201129,07/23/2011,Central,10,758,1.32,6
2010-2011,201129,07/23/2011,Lower Southern,60,6948,0.86,35
2010-2011,201129,07/23/2011,Northern,15,3684,0.41,10
2010-2011,201129,07/23/2011,Upper Southern,1,2093,0.05,13
2010-2011,201130,07/30/2011,Bay Area,220,8714,2.52,13
2010-2011,201130,07/30/2011,California,301,22084,1.36,75
2010-2011,201130,07/30/2011,Central,4,787,0.51,6
2010-2011,201130,07/30/2011,Lower Southern,66,6832,0.97,32
2010-2011,201130,07/30/2011,Northern,10,3694,0.27,10
2010-2011,201130,07/30/2011,Upper Southern,1,2057,0.05,14
2010-2011,201131,08/06/2011,Bay Area,2,3863,0.05,13
2010-2011,201131,08/06/2011,California,91,16447,0.55,74
2010-2011,201131,08/06/2011,Central,3,395,0.76,5
2010-2011,201131,08/06/2011,Lower Southern,69,6832,1.01,35
2010-2011,201131,08/06/2011,Northern,14,3582,0.39,10
2010-2011,201131,08/06/2011,Upper Southern,3,1775,0.17,11
2010-2011,201132,08/13/2011,Bay Area,206,8511,2.42,14
2010-2011,201132,08/13/2011,California,293,21270,1.38,76
2010-2011,201132,08/13/2011,Central,3,834,0.36,5
2010-2011,201132,08/13/2011,Lower Southern,62,7139,0.87,34
2010-2011,201132,08/13/2011,Northern,21,3643,0.58,10
2010-2011,201132,08/13/2011,Upper Southern,1,1143,0.09,13
2010-2011,201133,08/20/2011,Bay Area,187,8475,2.21,14
2010-2011,201133,08/20/2011,California,284,23924,1.19,78
2010-2011,201133,08/20/2011,Central,6,1012,0.59,6
2010-2011,201133,08/20/2011,Lower Southern,69,7529,0.92,33
2010-2011,201133,08/20/2011,Northern,19,4577,0.42,11
2010-2011,201133,08/20/2011,Upper Southern,3,2331,0.13,14
2010-2011,201134,08/27/2011,Bay Area,201,8778,2.29,13
2010-2011,201134,08/27/2011,California,350,25570,1.37,79
2010-2011,201134,08/27/2011,Central,16,1035,1.55,6
2010-2011,201134,08/27/2011,Lower Southern,100,8175,1.22,36
2010-2011,201134,08/27/2011,Northern,26,5033,0.52,10
2010-2011,201134,08/27/2011,Upper Southern,7,2549,0.27,14
2010-2011,201135,09/03/2011,Bay Area,220,8802,2.50,12
2010-2011,201135,09/03/2011,California,373,24750,1.51,75
2010-2011,201135,09/03/2011,Central,22,1015,2.17,5
2010-2011,201135,09/03/2011,Lower Southern,103,7659,1.34,34
2010-2011,201135,09/03/2011,Northern,28,5241,0.53,12
2010-2011,201135,09/03/2011,Upper Southern,0,2033,0.00,12
2010-2011,201136,09/10/2011,Bay Area,149,4987,2.99,10
2010-2011,201136,09/10/2011,California,318,19518,1.63,73
2010-2011,201136,09/10/2011,Central,17,1005,1.69,5
2010-2011,201136,09/10/2011,Lower Southern,117,6409,1.83,33
2010-2011,201136,09/10/2011,Northern,30,4277,0.70,12
2010-2011,201136,09/10/2011,Upper Southern,5,2840,0.18,13
2010-2011,201137,09/17/2011,Bay Area,249,6724,3.70,13
2010-2011,201137,09/17/2011,California,419,23690,1.77,72
2010-2011,201137,09/17/2011,Central,31,1050,2.95,5
2010-2011,201137,09/17/2011,Lower Southern,110,7333,1.50,29
2010-2011,201137,09/17/2011,Northern,27,5295,0.51,12
2010-2011,201137,09/17/2011,Upper Southern,2,3288,0.06,13
2010-2011,201138,09/24/2011,Bay Area,253,7229,3.50,11
2010-2011,201138,09/24/2011,California,445,25285,1.76,74
2010-2011,201138,09/24/2011,Central,39,878,4.44,5
2010-2011,201138,09/24/2011,Lower Southern,111,8208,1.35,33
2010-2011,201138,09/24/2011,Northern,31,5619,0.55,11
2010-2011,201138,09/24/2011,Upper Southern,11,3351,0.33,14
2010-2011,201139,10/01/2011,Bay Area,274,6368,4.30,10
2010-2011,201139,10/01/2011,California,466,25106,1.86,69
2010-2011,201139,10/01/2011,Central,33,392,8.42,4
2010-2011,201139,10/01/2011,Lower Southern,126,9000,1.40,32
2010-2011,201139,10/01/2011,Northern,28,6170,0.45,11
2010-2011,201139,10/01/2011,Upper Southern,5,3176,0.16,12
2011-2012,201140,10/08/2011,Bay Area,347,8992,3.86,19
2011-2012,201140,10/08/2011,California,568,31504,1.80,116
2011-2012,201140,10/08/2011,Central,38,1242,3.06,12
2011-2012,201140,10/08/2011,Lower Southern,84,9681,0.87,42
2011-2012,201140,10/08/2011,Northern,47,6449,0.73,17
2011-2012,201140,10/08/2011,Upper Southern,52,5140,1.01,26
2011-2012,201141,10/15/2011,Bay Area,383,8911,4.30,21
2011-2012,201141,10/15/2011,California,703,34038,2.07,122
2011-2012,201141,10/15/2011,Central,37,1196,3.09,12
2011-2012,201141,10/15/2011,Lower Southern,161,10550,1.53,45
2011-2012,201141,10/15/2011,Northern,76,7143,1.06,18
2011-2012,201141,10/15/2011,Upper Southern,46,6238,0.74,26
2011-2012,201142,10/22/2011,Bay Area,444,8746,5.08,20
2011-2012,201142,10/22/2011,California,801,33614,2.38,116
2011-2012,201142,10/22/2011,Central,43,1343,3.20,12
2011-2012,201142,10/22/2011,Lower Southern,213,10564,2.02,42
2011-2012,201142,10/22/2011,Northern,66,6681,0.99,17
2011-2012,201142,10/22/2011,Upper Southern,35,6280,0.56,25
2011-2012,201143,10/29/2011,Bay Area,492,11061,4.45,21
2011-2012,201143,10/29/2011,California,797,34784,2.29,118
2011-2012,201143,10/29/2011,Central,48,1875,2.56,13
2011-2012,201143,10/29/2011,Lower Southern,132,9636,1.37,43
2011-2012,201143,10/29/2011,Northern,77,6726,1.14,16
2011-2012,201143,10/29/2011,Upper Southern,48,5486,0.87,25
2011-2012,201144,11/05/2011,Bay Area,493,11522,4.28,22
2011-2012,201144,11/05/2011,California,866,34869,2.48,125
2011-2012,201144,11/05/2011,Central,65,2100,3.10,14
2011-2012,201144,11/05/2011,Lower Southern,183,10457,1.75,43
2011-2012,201144,11/05/2011,Northern,78,6383,1.22,19
2011-2012,201144,11/05/2011,Upper Southern,47,4407,1.07,27
2011-2012,201145,11/12/2011,Bay Area,488,11832,4.12,21
